palette,palette_type,hex,artist,record,track,url,palette_url
rush,qualitative,#874F92,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
rush,qualitative,#F094BA,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
rush,qualitative,#FFC561,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
rush,qualitative,#91B356,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
rush,qualitative,#5996C5,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
rush,qualitative,#CD543C,Avalon Emerson,Whities 013,One More Fluorescent Rush,https://avalonemerson.bandcamp.com/track/one-more-fluorescent-rush,https://coolors.co/874f92-f094ba-ffc561-91b356-5996c5-cd543c
x,diverging,#2E1F84,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2639
x,diverging,#9D3EC9,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2640
x,diverging,#CDA2E2,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2641
x,diverging,#EDE8E8,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2642
x,diverging,#E0AEA4,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2643
x,diverging,#D34A4A,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2644
x,diverging,#7D2639,Bicep,Isles,X,https://bicep.bandcamp.com/track/x-feat-clara-la-san,https://coolors.co/2e1f84-9d3ec9-cda2e2-ede8e8-e0aea4-d34a4a-7d2645
esther,diverging,#8F2314,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337169
esther,diverging,#D89146,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337170
esther,diverging,#FADAB8,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337171
esther,diverging,#F5F5F4,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337172
esther,diverging,#C3D8A4,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337172
esther,diverging,#79A48D,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337173
esther,diverging,#337169,Tzusing,東方不敗,Esther,https://liesrecords.bandcamp.com/track/esther,https://coolors.co/8f2314-d89146-fadab8-f5f5f4-c3d8a4-79a48d-337174
hotbot,sequential,#F1D0E1,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778088,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2671
hotbot,sequential,#DC90BF,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778089,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2672
hotbot,sequential,#DB4D9C,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778090,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2673
hotbot,sequential,#C21887,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778091,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2674
hotbot,sequential,#7B2991,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778092,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2675
hotbot,sequential,#5A2671,Nite Fleit,Moogie,Hot Bot,https://www.beatport.com/release/moogie/3778093,https://coolors.co/f1d0e1-dc90bf-db4d9c-c21887-7b2991-5a2676
ibrik,sequential,#F0F8F9,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
ibrik,sequential,#B5DAE3,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
ibrik,sequential,#7EB7C8,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
ibrik,sequential,#428C9E,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
ibrik,sequential,#2D6376,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
ibrik,sequential,#183E4E,Bonobo,Ibrik,Ibrik,https://fabricrecords.bandcamp.com/track/b2-bonobo-ibrik,https://coolors.co/f0f8f9-b5dae3-7eb7c8-428c9e-2d6376-183e4e
poodle,sequential,#F7F2B6,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c00
poodle,sequential,#EEE544,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c01
poodle,sequential,#F5B910,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c02
poodle,sequential,#C06512,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c03
poodle,sequential,#893110,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c04
poodle,sequential,#3E1C00,Avalon Emerson,DJ-Kicks EP,Poodle Power,https://avalonemerson.bandcamp.com/track/poodle-power,https://coolors.co/f7f2b6-eee544-f5b910-c06512-893110-3e1c05
bodied,qualitative,#E75136,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb
bodied,qualitative,#7BCCE0,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb
bodied,qualitative,#589D82,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb
bodied,qualitative,#E8A734,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb
bodied,qualitative,#865B76,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb
bodied,qualitative,#177EBB,Effy,Bodied,Bodied,https://effy.bandcamp.com/track/bodied,https://coolors.co/ef4222-9ad7e7-4e8a73-e8a734-6e4b61-177ebb